filename,bandgap,formation_energy
mp20-train-mp-1221227.cif,0.2132999999999998,-1.637460082715517
mp20-train-mp-974729.cif,0.0,-0.3147590238461542
mp20-train-mp-1185360.cif,0.0,-0.1937609628160919
mp20-train-mp-1188861.cif,3.8556,-0.5846935397395834
mp20-train-mp-677272.cif,0.4706999999999999,-2.474759288928571
mp20-train-mp-1104517.cif,0.0,-0.6410757933928569
mp20-train-mp-561310.cif,4.313400000000001,-2.160561466925288
mp20-train-mp-777964.cif,0.0,-1.697507947183908
mp20-train-mp-1078776.cif,1.4017999999999995,-0.7366100418750001
mp20-train-mp-1217581.cif,0.0,-0.5213035800000002
mp20-train-mp-1226849.cif,0.5664000000000002,-0.521158901666666
mp20-train-mp-1188441.cif,0.0,-0.0850302221666666
mp20-train-mp-2400.cif,1.2566,-1.078382311088362
mp20-train-mp-755297.cif,2.5515,-1.7426464083333335
mp20-train-mp-1112148.cif,1.4011000000000002,-1.1574693832413794
mp20-train-mp-20950.cif,0.0,-1.000601159999999
mp20-train-mp-1019278.cif,0.0,-0.8353951749999998
mp20-train-mp-547792.cif,2.6838,-2.0533213286
mp20-train-mp-16341.cif,0.0,-0.2750643741666665
mp20-train-mp-1215947.cif,0.0,-0.5070968549999988
mp20-train-mp-1224950.cif,0.0,-0.2296934258333335
mp20-train-mp-867272.cif,0.0,-0.2212785558333334
mp20-train-mp-1185774.cif,0.0,-0.0340706050000001
mp20-train-mp-776164.cif,3.0526,-2.8219765213888888
mp20-train-mp-30875.cif,0.0452000000000012,-0.3331329372222231
mp20-train-mp-15822.cif,0.0,-0.6998789122222225
mp20-train-mp-1111567.cif,4.7378,-3.2973372829333334
mp20-train-mp-684705.cif,1.3135000000000003,-2.826178416793104
mp20-train-mp-2832.cif,0.0,-0.8103917534062489
mp20-train-mp-865364.cif,0.0,-0.3621794825000002
mp20-train-mp-12571.cif,0.0,-0.6309166883333326
mp20-train-mp-1225679.cif,0.0,-0.6146446508333335
mp20-train-mp-1102038.cif,2.9992,-0.2632931008333337
mp20-train-mp-1187002.cif,0.0,-0.2041860199999998
mp20-train-mp-15634.cif,0.0,-3.2992035115747127
mp20-train-mp-1667.cif,0.0,-0.0976373366666673
mp20-train-mp-29337.cif,1.4384,-0.6367718755059525
mp20-train-mp-1102002.cif,0.2624000000000013,-0.4170929399999998
mp20-train-mp-22592.cif,0.0,-2.702762577666666
mp20-train-mp-4482.cif,2.6801,-2.060651169310345
mp20-train-mp-867135.cif,0.0,-0.7885469112500001
mp20-train-mp-1225810.cif,0.0,-0.2840511816666661
mp20-train-mp-1103663.cif,3.5421,-3.039155332272727
mp20-train-mp-1227942.cif,0.0,-0.542095370833333
mp20-train-mp-1206487.cif,0.1452,-0.6129058359999998
mp20-train-mp-1224823.cif,0.0,-0.3844083715625004
